Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-05-01,Senin,5,2023,3,0,0,66,1243000
2023-05-01,Senin,5,2023,4,0,0,122,983000
2023-05-01,Senin,5,2023,5,0,0,70,1182000
2023-05-02,Selasa,5,2023,1,0,0,80,839000
2023-05-02,Selasa,5,2023,2,0,0,82,1680000
2023-05-02,Selasa,5,2023,3,0,0,66,1682000
2023-05-02,Selasa,5,2023,4,0,0,122,1780000
2023-05-02,Selasa,5,2023,5,0,0,70,1840000
2023-05-03,Rabu,5,2023,1,0,0,80,1007000
2023-05-03,Rabu,5,2023,2,0,0,82,1690000
2023-05-03,Rabu,5,2023,3,0,0,66,1737000
2023-05-03,Rabu,5,2023,4,0,0,122,1810000
2023-05-03,Rabu,5,2023,5,0,0,70,1880000
2023-05-04,Kamis,5,2023,1,0,0,80,1109000
2023-05-04,Kamis,5,2023,2,0,0,82,1691000
2023-05-04,Kamis,5,2023,3,0,0,66,1704000
2023-05-04,Kamis,5,2023,4,0,0,122,1820000
2023-05-04,Kamis,5,2023,5,0,0,70,1903000
2023-05-05,Jumat,5,2023,1,0,0,80,1152000
2023-05-05,Jumat,5,2023,2,0,0,82,1712000
